date,daily_revenue,rolling_7,rolling_30,month,dayofweek
2017-09-28,23264.52,17628.40142857143,21081.576999999997,2017-09,3
2017-09-29,30878.56,19717.464285714286,21079.590333333337,2017-09,4
2017-09-30,12685.49,20027.74857142857,20813.38966666667,2017-09,5
2017-10-01,18821.27,20852.25142857143,20491.661000000004,2017-10,6
2017-10-02,21764.65,21391.90142857143,20612.860666666664,2017-10,0
2017-10-03,26118.57,22025.71142857143,20556.966,2017-10,1
2017-10-04,21197.7,22104.394285714283,20432.289999999997,2017-10,2
2017-10-05,25517.52,22426.25142857143,20583.489,2017-10,3
2017-10-06,17084.670000000002,20455.695714285714,20298.824333333334,2017-10,4
2017-10-07,15376.02,20840.057142857142,20248.241666666665,2017-10,5
2017-10-08,16539.010000000002,20514.02,20403.42633333333,2017-10,6
2017-10-09,30337.79,21738.754285714287,20911.934999999998,2017-10,0
2017-10-10,28151.13,22029.12,21256.630333333334,2017-10,1
2017-10-11,22669.37,22239.358571428573,21233.05,2017-10,2
2017-10-12,18754.23,21273.174285714285,20953.657333333333,2017-10,3
2017-10-13,22881.19,22101.248571428576,20796.587666666666,2017-10,4
2017-10-14,13528.82,21837.362857142853,20495.623,2017-10,5
2017-10-15,18751.85,22153.482857142855,20508.242666666665,2017-10,6
2017-10-16,30580.16,22188.10714285714,20822.668999999998,2017-10,0
2017-10-17,29675.77,22405.91285714286,21145.880666666668,2017-10,1
2017-10-18,27257.79,23061.40142857143,21104.88,2017-10,2
2017-10-19,23223.71,23699.89857142857,21210.405333333336,2017-10,3
2017-10-20,18626.2,23092.042857142857,21094.527,2017-10,4
2017-10-21,14982.45,23299.704285714284,20960.091,2017-10,5
2017-10-22,19786.81,23447.555714285718,21077.814,2017-10,6
2017-10-23,22278.1,22261.547142857144,21469.96733333333,2017-10,0
2017-10-24,22071.27,21175.190000000002,21770.684666666664,2017-10,1
2017-10-25,17507.06,19782.22857142857,21754.683333333334,2017-10,2
2017-10-26,22573.15,19689.29142857143,21784.391666666666,2017-10,3
2017-10-27,20377.58,19939.488571428574,21775.413666666667,2017-10,4
2017-10-28,16483.61,20153.94,21549.383333333335,2017-10,5
2017-10-29,17267.75,19794.074285714283,21095.689666666665,2017-10,6
2017-10-30,20221.23,19500.235714285718,21346.880999999998,2017-10,0
2017-10-31,23813.0,19749.054285714286,21513.271999999997,2017-10,1
2017-11-01,19383.61,20017.132857142857,21433.904,2017-11,2
2017-11-02,21263.73,19830.07285714286,21272.076,2017-11,3
2017-11-03,22844.05,20182.425714285713,21326.954333333335,2017-11,4
2017-11-04,19169.07,20566.062857142857,21115.339333333333,2017-11,5
2017-11-05,17327.44,20574.59,21123.431666666664,2017-11,6
2017-11-06,28600.29,21771.59857142857,21564.240666666665,2017-11,0
2017-11-07,20829.71,21345.414285714283,21707.264000000003,2017-11,1
2017-11-08,19240.51,21324.971428571425,21337.354666666666,2017-11,2
2017-11-09,25053.34,21866.344285714287,21234.094999999998,2017-11,3
2017-11-10,20223.84,21492.028571428575,21152.577333333335,2017-11,4
2017-11-11,23292.07,22081.028571428567,21303.838666666667,2017-11,5
2017-11-12,23087.26,22903.859999999997,21310.707666666665,2017-11,6
2017-11-13,24391.97,22302.67142857143,21672.81266666667,2017-11,0
2017-11-14,27049.68,23191.23857142857,21949.407000000003,2017-11,1
2017-11-15,23711.29,23829.92142857143,21720.444666666666,2017-11,2
2017-11-16,28268.82,24289.27571428572,21673.546333333335,2017-11,3
2017-11-17,29209.07,25572.88,21738.588999999996,2017-11,4
2017-11-18,23233.3,25564.484285714287,21738.908666666666,2017-11,5
2017-11-19,19955.56,25117.09857142857,21783.220666666668,2017-11,6
2017-11-20,44284.47,27958.884285714284,22759.95466666667,2017-11,0
2017-11-21,34316.64,28997.021428571432,23244.282333333333,2017-11,1
2017-11-22,24962.57,29175.77571428571,23333.76466666667,2017-11,2
2017-11-23,44712.88,31524.92714285714,24088.485,2017-11,3
2017-11-24,152653.74,49159.880000000005,28593.374333333333,2017-11,4
2017-11-25,60923.48,54544.19142857143,29871.718666666664,2017-11,5
2017-11-26,45315.28,58167.008571428574,30702.975333333332,2017-11,6
2017-11-27,47923.66,58686.892857142855,31750.977000000003,2017-11,0
2017-11-28,47886.55,60625.451428571425,32771.60366666667,2017-11,1
2017-11-29,39834.75,62750.04857142857,33425.38766666667,2017-11,2
2017-11-30,31322.74,60837.17142857142,33675.71233333334,2017-11,3
2017-12-01,39981.91,44741.19571428571,34362.32233333334,2017-12,4
2017-12-02,31208.13,40496.14571428572,34693.80233333333,2017-12,5
2017-12-03,29262.92,38202.951428571425,34907.76466666667,2017-12,6
2017-12-04,47348.52,38120.78857142857,35847.079666666665,2017-12,0
2017-12-05,33632.37,36084.47714285714,36390.577333333335,2017-12,1
2017-12-06,39198.74,35993.618571428575,36743.859000000004,2017-12,2
2017-12-07,28055.78,35526.909999999996,36984.728,2017-12,3
2017-12-08,29847.46,34079.13142857143,37338.293,2017-12,4
2017-12-09,20027.04,32481.83285714286,37170.74966666666,2017-12,5
2017-12-10,24695.79,31829.385714285712,37319.81466666667,2017-12,6
2017-12-11,33990.39,29921.08142857143,37676.42533333333,2017-12,0
2017-12-12,33468.71,29897.70142857143,38022.473666666665,2017-12,1
2017-12-13,29601.28,28526.635714285712,38196.117333333335,2017-12,2
2017-12-14,25286.23,28130.985714285714,38137.335666666666,2017-12,3
2017-12-15,27382.2,27778.80571428571,38259.69933333333,2017-12,4
2017-12-16,20296.28,27817.26857142857,37993.948,2017-12,5
2017-12-17,19312.41,27048.214285714286,37664.05933333333,2017-12,6
2017-12-18,29162.11,26358.46,37861.68633333334,2017-12,0
2017-12-19,20615.99,24522.35714285714,37883.700666666664,2017-12,1
2017-12-20,27958.53,24287.678571428572,37339.50266666667,2017-12,2
2017-12-21,18572.22,23328.534285714286,36814.68866666666,2017-12,3
2017-12-22,14935.3,21550.405714285713,36480.44633333334,2017-12,4
2017-12-23,12875.05,20490.230000000003,35419.185333333335,2017-12,5
2017-12-24,5759.01,18554.030000000002,30522.694333333333,2017-12,6
2017-12-25,10381.34,15871.062857142857,28837.956333333335,2017-12,0
2017-12-26,20549.43,15861.554285714286,28012.428,2017-12,1
2017-12-27,17700.4,14396.107142857143,27004.985999999997,2017-12,2
2017-12-28,15037.49,13891.145714285714,25910.017333333333,2017-12,3
2017-12-29,16042.72,14049.348571428573,25116.949666666667,2017-12,4
2017-12-30,13042.65,14073.29142857143,24507.613333333335,2017-12,5
2017-12-31,8685.77,14491.4,23464.408666666666,2017-12,6
2018-01-01,6948.21,14000.952857142856,22655.744666666666,2018-01,0
